Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
000078142,,London,1891,Chapman & Hall,"A Romance of N'Shabé. Being a record of startling adventures in South Central Africa, etc","ANDERSON, Andrew A. - and WALL (Alfred H.)","WALL, Alfred Henry.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000078142,British Library HMNTS 012632.h.54.
000078735,,Glasgow,1859,T. Murray & Son,"The Burns Centenary Poems, a collection of fifty of the best out of many hundreds written on occasion of the centenary celebration ... Selected and edited by G. Anderson and J. Finlay","ANDERSON, George - of Glasgow, and FINLAY (John) of Glasgow?","FINLAY, John - of Glasgow?",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000078735,British Library HMNTS 11648.f.7.
000078740,,Inverness,[1890],“Northern Chronicle”,Handbook to the Highland Railway ... Season 1890. Ninth edition [of the work by G. and P. Anderson]. Revised and enlarged. By P. J. Anderson,"Anderson, George - of Inverness","Anderson, Peter",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000078740,British Library HMNTS 10369.ccc.8.
000079249,,London,1876,Macmillan & Co.,"Mandalay to Momien: a narrative of the two Expeditions to Western China of 1868 and 1875, under Colonel E. B. Sladen and Colonel H. Browne ... With maps and illustrations","ANDERSON, John - Superintendent, Indian Museum","BROWNE, Horace Albert.|SLADEN, Edward Bosc.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000079249,British Library HMNTS 010057.i.29.
000080465,,Jedburgh,1899,T. S. Smail,Holloas from the Hills ... With illustrations by G. Denholm Armour,"ANDERSON, Thomas Scott.","ARMOUR, George Denholm.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000080465,British Library HMNTS 11651.m.41.
000080911,,London,1875,Hurst & Blackett,Notes of Travel in South Africa. Edited by G. Lloyd. [With a portrait.],"ANDERSSON, Carl Johan.","LLOYD, Llewellyn - Sportsman",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000080911,British Library HMNTS 10095.cc.24.
000081414,,Westminster,1895,Constable & Co.,"The Fortune of a Spendthrift, and other items","ANDOM, R. - pseud., and HAREWOOD (Fred)","HAREWOOD, Fred.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000081414,British Library HMNTS 012628.i.15.
000081458,,Andover,[1885?],J. C. Holmes,The Archives of Andover. By the Rev. C. Collier ... and the Rev. R. H. Clutterbuck. pt. 1,,"CLUTTERBUCK, Robert Hawley.|COLLIER, Charles - F.S.A",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000081458,British Library HMNTS 010368.ff.8.
000082105,,Lewes,1883,,"Warnham, in the County of Sussex. Its church, monuments, registers, and vicars ... Reprinted from the Sussex Archaeological Collections, etc","ANDRÉE, James Lewis - and RICE (Robert Garraway)","RICE, Robert Garraway.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000082105,British Library HMNTS 10348.e.15.(1.)
000084631,,New York,1867,D. Van Nostrand,History of the Campaign of Mobile; including the co-operative operations of Gen. Wilson's Cavalry in Alabama ... With maps and illustrations,"ANDREWS, Christopher Columbus.","WILSON, James Harrison.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000084631,British Library HMNTS 9603.ee.12.
000085672,,Deventer,1880 [76-80],,"Panorama van Neerlands verleden, door P. J. Andriessen en W. J. Hofdijk.[With plates.]","Andriessen, P. J. (Pieter Jacob)","HOFDIJK, Willem Jacobs.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000085672,British Library HMNTS 9406.i.4.
000087222,,Providence,1899,Preston & Rounds Co.,"Diary of Colonel Israel Angell, commanding the Second Rhode Island Continental Regiment during the American Revolution, 1778-1781. Transcribed from the original manuscript, together with a biographical sketch of the author and illustrative notes by Edward Field ... Illustrated","ANGELL, Israel.","FIELD, Edward - of Providence RI",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000087222,British Library HMNTS 9602.c.27.
000087934,,Paris,1861,,"Inventaire analytique des archives anciennes de la Mairie d'Angers, suivi de tables et de documents inédits, publié sous les auspices du Conseil municipal, par M. Célestin Port",,"PORT, Célestin.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000087934,British Library HMNTS 10172.dd.25.
000088350,,Paris,[1898],,Royauté ou Empire. La France en 1814 d'après les rapports inédits du comte Anglès. [Edited by G. Firmin Didot.],"ANGLÈS, Jules Jean Baptiste - Count","FIRMIN-DIDOT, Georges.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000088350,British Library HMNTS 09225.h.3.
000089469,,London,1825,John Miller,"Masaniello, the fisherman of Naples: an historical play, etc. [In verse. By George Soane.]",Masaniello,"SOANE, George.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000089469,British Library HMNTS 11779.g.11.
000089796,,Frankfurt,1887,,Grundzüge der Landesnatur des Westjordanlandes ... Mit einem Vorworte von ... T. Fischer,"ANKEL, Otto.","FISCHER, Friedrich Theobald.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000089796,British Library HMNTS 10077.i.11.
000090416,,Edinburgh & London,1891 [1890],Blackwood & Sons,Annals of a Fishing Village. Drawn from the notes of “A Son of the Marshes” [i.e. Denham Jordan]. Edited by J. A. Owen. [With plates.],,"JORDAN, Denham.|OWEN, afterwards VISGER, Jean Allan.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000090416,British Library HMNTS 012631.k.25.
000090417,,London,1870,Hurst & Blackett,Annals of an Eventful Life. [By Sir George W. Dasent.],,"DASENT, George Webbe - Sir",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000090417,British Library HMNTS 12626.i.3.
000090432,,London,1874,S. Tinsley,"Annals of the Twenty-ninth Century; or, the Autobiography of the Tenth President of the World Republic. [By Andrew Blair.]",,"BLAIR, Andrew - M.D., of Tayport",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000090432,British Library HMNTS 12631.n.1.
000090671,,London,1899,D. Nutt,"Anna Ruina. [A drama in verse. By Michael Field, i.e. K. H. Bradley and E. E. Cooper.]",,"Field, Michael.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000090671,British Library HMNTS 11781.gg.45.
000091083,,London,1809,William Miller,"Voyages and Travels to India, Ceylon, the Red Sea, Abyssinia, and Egypt. 1802, 1803, 1804, 1805 and 1806. [With plates by Henry Salt.]","ANNESLEY, George - Earl of Mountnorris","SALT, Henry.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000091083,British Library HMNTS 10058.l.13.|British Library HMNTS 215.d.1-3.|British Library HMNTS G.2276-8.|British Library HMNTS 455.f.12-14.|British Library OC W 3011
000091204,,London,1877,Hurst & Blackett,"Annette. [A novel.] By the author of “St. Olave's,” etc. [i.e. Eliza Tabor, afterwards Stephenson.]",,"TABOR, afterwards STEPHENSON, Eliza.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000091204,British Library HMNTS 12625.h.11.
000091396,,Roma,1853,,"Storia di Civitavecchia dalla sua origine fino all' anno 1848. [Edited, with a life of the author, by D. and B. Annovazzi. With plates.]","ANNOVAZZI, Vincenzo Giovanni Niccola - successively Bishop of Leros, of Anagni, and Archbishop of Iconium","ANNOVAZZI, Biagio.|ANNOVAZZI, Domenico.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000091396,British Library HMNTS 10131.g.31.
000092162,,Pescia,1879,,"La Valdinievole illustrata nella storia naturale, civile ed ecclesiastica dell'agricoltura, delle industrie e delle arti belle ... Opera postuma pubblicata per cura della famiglia e preceduta da un discorso sulla vita e sulle opere dell'autore scritto dal dottore Angiolo Bertacchi","ANSALDI, Giuseppe.","BERTACCHI, Angiolo.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000092162,British Library HMNTS 10136.g.11.
000092702,,London?],1760,,"Verses on the Death of Lady Anson, addressed to her father. [By David Mallet.]","ANSON, Elizabeth - Baroness Anson","MALLET, David.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000092702,British Library HMNTS 643.k.7.(15.)
000093013,,London,1862,W. H. Allen & Co.,The Channel Islands ... With illustrations drawn by P. J. Naftel [and with maps],"ANSTED, David Thomas - and LATHAM (Robert Gordon)","NAFTEL, Paul Jacob.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000093013,British Library HMNTS 010360.f.22.
000093014,Second edition.,London,1865,W. H. Allen & Co.,[The Channel Islands ... With illustrations drawn by P. J. Naftel [and with maps].],"ANSTED, David Thomas - and LATHAM (Robert Gordon)","LATHAM, Robert Gordon.|NAFTEL, Paul Jacob.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000093014,British Library HMNTS 010358.g.30.
000093061,,London,1830,"Hurst, Chance & Co.","The new Bath Guide ... With a biographical and topographical preface, and anecdotical annotations by John Britton ... Embellished with engravings [by George Cruikshank and S. Williams]","ANSTEY, Christopher.","Britton, John|WILLIAMS, Samuel - Wood Engraver",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000093061,British Library HMNTS 994.i.3.|British Library HMNTS 10362.df.43.
000093082,,London,1897,J. M. Dent & Co.,"Baboo Jabberjee, B.A. ... With illustrations by J. Bernard Partridge","Anstey, F.","PARTRIDGE, J. Bernard - Sir",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000093082,British Library HMNTS 012626.l.60.|British Library OC T 41349
000093124,[Another edition.] Illustrated by Bernard Partridge.,London & New York,1898 [1897],Harper & Bros.,[The Tinted Venus: a farcical romance.],"Anstey, F.","PARTRIDGE, J. Bernard - Sir",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000093124,British Library HMNTS 012625.ee.17.
000093565,,London,1810,J. Richardson; L. N. Pannier,"South American Emancipation. Documents shewing the designs which have been in progress and the exertions made by General Miranda for the South American Emancipation, during the last twenty-five years. [With a portrait of Miranda, and a plan.]","ANTEPARA, José María.","Miranda, Francisco de|MIRANDA, Francisco de - Jesuit",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000093565,British Library HMNTS 1446.h.4.|British Library HMNTS 279.k.7.
000094393,,Exeter,1805,S. Woolmer,"The Anti-Corsican, a poem, in three cantos; inscribed to the Volunteers of Great-Britain. [A satire against Napoleon. By Matthew Rolleston.]",,"ROLLESTON, Matthew.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000094393,British Library HMNTS 11641.g.1.
000094484,,London,1887,Macmillan & Co.,The New Antigone. A romance. [By William Barry.],,"BARRY, William Francis.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000094484,British Library HMNTS 012639.m.19.
000094545,,London,1844,Saunders & Otley,"Antigua and the Antiguans: a full account of the colony and its inhabitants from the time of the Caribs to the present day ... Also, an impartial view of slavery and the free labour systems, etc. [By Mrs. Flannigan.]: Appendix",,FLANNIGAN - Mrs,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000094545,British Library HMNTS 1304.h.1.
000094892,,London,1827,"Smith, Elder & Co.",Chronicles of London Bridge: by an Antiquary [i.e. Richard Thomson]. [With illustrations.],,"THOMSON, Richard - Librarian of the London Institution",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000094892,British Library HMNTS 796.g.28.
000094906,,London,1813,W. Pople,The Modern Antique: or the Muse in the costume of Queen Anne. [By Isaac Gompertz.],,"GOMPERTZ, Isaac.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000094906,British Library HMNTS 11642.f.40.(2.)
000095781,,Berlin,1889,,"Antonini Placentini Itinerarium, im unentstellten Text mit deutscher Übersetzung herausgegeben von Dr. J. Gildemeister",,"GILDEMEISTER, Johann.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000095781,British Library HMNTS 010077.g.16.
000096025,,Edinburgh,1855,T. Constable & Co.,Doctor Antonio: a tale. By the author of Lorenzo Benoni [i.e. Giovanni D. Ruffini],,"Ruffini, Giovanni",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000096025,British Library HMNTS 12630.b.1.
000098625,,London,1787,S. Bladon,"Apollo turn'd Stroller; or, Thereby hangs a Tale. A musical pasticcio in two parts, etc. [By Sir John Oldmixon.]",,"OLDMIXON, John - Sir",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000098625,British Library HMNTS 643.e.16.(4.)|British Library HMNTS 11779.c.88.(13.)|British Library HMNTS 161.d.49.
000099576,,London,1794,J. Barker,"Songs, Choruses, &c. in The Apparition! A musical dramatic romance, in two acts [by J. C. Cross], etc",,"CROSS, John C. - Dramatist",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000099576,British Library HMNTS 643.f.2.(4.)
000099578,,London; Oxford,1710,The Booksellers,The Appartion [sic]. A poem. [By Abel Evans. A satire on Matthew Tindal's “The Rights of the Christian Church asserted.”],,"EVANS, Abel.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000099578,British Library HMNTS 11642.bb.58.
000099583,,London,1846,Edward Lloyd,"The Apparition, a romance",,"RYMER, James Malcolm.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000099583,British Library HMNTS 12621.g.10.|British Library HMNTS C.140.e.30.(3.)
000099710,,London,1785,G. G. J. & J. Robinson,"Appearance is against them; a farce in two acts, etc. [By Elizabeth Inchbald.]",,Inchbald - Mrs,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000099710,British Library HMNTS 643.e.14.(4.)|British Library HMNTS 161.d.50.
000099961,,Malton,1822,R. Smithson,"The Vale of Apperley, and other poems. [By William Greenwood.]",,"GREENWOOD, William - Author of “The Vale of Apperley.”",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000099961,British Library HMNTS 994.k.41.
000100453,,Boston,1848,Eastburn's Press,Correspondence between Nathan Appleton and J. A. Lowell in relation to the early history of the city of Lowell,"APPLETON, Nathan - the Elder","LOWELL, John Amory.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000100453,British Library HMNTS 10409.e.25.
000100850,,London,1868,Newsagents’ Publishing Co.,"The Young Apprentice; or, the Watch-words of old London. [By V. I. Saint John.] With ... engravings, etc",,"SAINT JOHN, Vane Ireton.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000100850,British Library HMNTS 12620.h.28.
000101009,,London,1777,G. Kearsly,"April-Day, a burletta, in three acts. [In verse.] Written by the author of Midas [i.e. Kane O'Hara]",,"O'HARA, Kane.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000101009,British Library HMNTS 643.e.6.(11.)|British Library HMNTS 161.d.51.
000101363,Third edition.,London,1801,J. Wright,[Cupid & Psyche. A mythological tale from the Golden Ass of Apuleius. [In verse. By Hudson Gurney.]]: Asinus Aureus. Selections. English,Apuleius.,"GURNEY, Hudson.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000101363,British Library HMNTS 11643.n.2.
000101366,,Great Yarmouth,1844,Charles Sloman,"Cupid and Psyche: a mythological tale, from the Golden Ass of Apuleius. [The preface signed: H. G., i.e. Hudson Gurney.]: Asinus Aureus. Selections. English",Apuleius.,"G., H.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000101366,British Library HMNTS 11645.g.19.
000103149,,London,1893,"Eden, Remington & Co.","The Land of Ararat; or, Up the Roof of the World. By a special correspondent [i.e. Alexander Macdonald]",,"MACDONALD, Alexander - War Correspondent",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000103149,British Library HMNTS 10077.bbb.21.
000103877,,London,1877-96,E. Arber; A. Constable & Co.,An English Garner. Ingatherings from our history and literature,"ARBER, Edward.","POLLARD, Alfred William - C.B., Keeper of Printed Books, British Museum",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000103877,British Library HMNTS 12269.cc.12.|British Library HMNTS 12268.e.1.
000104150,,Paris,1859-69,,"Histoire des ducs et des comtes de Champagne, etc. (tom. 4-6 par M. H. d'Arbois de Jubainville avec la collaboration de M. L. Pigeotte.-tom. 7. Livre des vassaux du comté de Champagne et de Brie 1172-1222. Publié d'après le manuscrit unique des Archives de l'Empire par Auguste Longnon.)","ARBOIS DE JUBAINVILLE, Marie Henri d'.","PIGEOTTE, Léon.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000104150,British Library HMNTS 9210.d.7.
000104154,"Seconde édition, corrigée et considérablement augmentée par l'auteur, avec la collaboration de G. Dottin.",Paris,"1889, 94",,"[Les Premiers habitants de l'Europe d'après les auteurs de l'antiquité, et les recherches les plus récentes de la linguistique.]","ARBOIS DE JUBAINVILLE, Marie Henri d'.|ARBUTHNOT, James - of Peterhead","DOTTIN, Georges.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000104154,British Library HMNTS 10007.g.41.
000105878,,Milano,1883,,La Patria di Pietro Micca,"ARCHINTI, Luigi.","Micca, Pietro",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000105878,British Library HMNTS 10629.f.27.|British Library HMNTS 10129.ee.4.
000106158,,Paris,1898,,Palerme et la civilisation en Sicile. Conférence ... Préface du Vte Combes de Lestrade,"ARCOLEO, Giorgio.","COMBES DE LESTRADE, Gaëtan - Viscount",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000106158,British Library HMNTS 10136.f.21.
000106294,,London,1851,Francis & John Rivington,"Papers and Despatches relating to the Arctic Searching Expeditions of 1850-51. Together with a few remarks as to the probable course pursued by Sir John Franklin, etc. [Compiled by James Mangles. With maps.]",,"MANGLES, James.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000106294,British Library HMNTS 10460.e.12.
000106624,,London,1887,J. W. Jarvis & Son,"Arden of Feversham, a tragedy: reprinted from the edition of 1592. With an introduction by A. H. Bullen","ARDEN, Thomas - of Faversham","BULLEN, Arthur Henry.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000106624,British Library HMNTS 11770.g.8.
000106918,,Paris,1882,,Études algériennes. L'Algérie politique et économique. À travers la province d'Oran. Lettres sur l'insurrection dans le sud oranais ... Avec une préface de M. L. Drapeyron,"ARDOUIN DUMAZET, Victor Eugène.","DRAPEYRON, Ludovic.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000106918,British Library HMNTS 10097.df.2.
000107010,,Chur,1877,,"Hans Ardüser's rätische Chronik. Herausgegeben auf Veranstaltung der bündnerischen naturhistorischen Gesellschaft. Nebst einem historischen Commentar von J. Bott, etc. Erschienen als Beilage zu den Jahresberichten XV-XX der N.G","ARDUESER, Johann.","BOTT, Jacob.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000107010,British Library HMNTS 9305.dd.23.
000107307,,Amsterdam,1840-83,,"Algemeene geschiedenis der Vaderlands, van de vroegste tijden tot op heden. (dl. 3. stuk 2. Voortgezet door Mr. O. van Rees. dl. 3. stuk 3-5. Voortgezet door Mr. O. van Rees en Dr. W. G. Brill. dl. 4, 5. Voortgezet door Dr. J. van Vloten.) dl. 1-dl. 5. stuk 1","AREND, Johannes Pieter.","BRILL, Willem Gerrit.|REES, Otto van - Professor at Utrecht|VLOTEN, Johan van.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000107307,British Library HMNTS 9415.k.2.
000107921,,London,1824,John Booth,"The Count Arezzi, a tragedy, in five acts. [By Robert Eyres Landor. In verse.]",,"LANDOR, Robert Eyres.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000107921,British Library HMNTS 11779.f.8.
000107924,,Firenze,1819,,Memorie istoriche per servire di guida al forestiero in Arezzo. [By G. A. Angelucci and others. With a map.],,"ANGELUCCI, Giulio Anastasio.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000107924,British Library HMNTS 10131.e.9.
000108063,,Paris,1824,,"Mémoires d'Olivier d'Argens, et correspondances des généraux Charette, Stofflet, Puisaye, d'Autichamp, Frotté, Cormatin, Botherel; de l'abbé Bernier, etc., et de plusieurs autres chefs, officiers, agens royalistes; pour servir à l'histoire de la Guerre civile de 1793 à 1796","ARGENS, Pierre Olivier d'.","BEAUMONT, Charles de - Count d'Autichamp|FROTTÉ, Marie Paul Louis de - Count|STOFFLET, Jean Nicolas.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000108063,British Library HMNTS 9210.dd.2.
000109420,,Edinburgh,1881,Printed for the Argonauts,"A Narrative of the Voyage of the Argonauts in 1880; compiled by the bard [i.e. William Mitchell Banks] from the most authentic records, illustrated by the photographer [i.e. Richard Caton], etc. [An account of a voyage to Iceland and Norway.]",,"BANKS, William Mitchell - Sir|CATON, Richard.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000109420,British Library HMNTS 10281.f.10.
000109429,,London,1823,The Author,The Queen of Argos; a tragedy: in five acts. [In verse. By William B. Bell.],,"BELL, William Boscawen.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000109429,British Library HMNTS 643.f.24.(4.)
000109445,,Moulins,1892,,Procès-verbal de la généralité de Moulins dressé en 1686 ... Publié par A. Vayssière,"ARGOUGES, Florent d'.","VAYSSIÈRE, A. - Archivist",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000109445,British Library HMNTS 9226.h.21.
000109932,,Madrid,1867,,Refutación al discurso del Ilmo. Sr. D. A. Fernández-Guerra y Orbe ... sobre la ilegitimidad del antiquísimo fuero de Avilés,"ARIAS DE MIRANDA, José.","FERNÁNDEZ GUERRA Y ORBE, Aureliano.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000109932,British Library HMNTS 10160.ff.11.
000110749,,Toulouse,1898,,"Histoire populaire de Toulouse.-Dessins de Debat-Ponsan, etc","ARISTE, Louis - pseud. [i.e. Jean Marie Jacques Passerieu], and BRAUD (Louis)","BRAUD, Louis.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000110749,British Library HMNTS 010168.g.4.
000111406,,London,1651,,"Πλουτοφθαλμια πλουτογαμια. A pleasant comedie, entituled Hey for Honesty, Down with Knavery. Translated out of Aristophanes his Plutus, by Tho: Randolph. Augmented and published by F. J. [i.e. F. Jaques or Jacques?]: Single Works. Plutus. English",,"J., F.|JAQUES, F.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000111406,British Library HMNTS 643.d.83.|British Library HMNTS 163.h.24.
000111455,,Oxford,[1785.],J. & J. Fletcher,"The Frogs, a comedy. Translated ... by C. Dunster. Ms. notes [by C. Burney]: Single Works. Ranae. English",,"DUNSTER, Charles.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000111455,British Library HMNTS 644.k.17.(1.)|British Library HMNTS 11630.e.1.(2.)|British Library HMNTS 74.f.9.
000111669,,London,1809,The Translator,"The History of Animals of Aristotle, and his Treatise on Physiognomy, translated from the Greek. By Thomas Taylor: Two or more Works. English",Aristotle.,"TAYLOR, Thomas - the Platonist",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000111669,British Library HMNTS 520.l.5.
000111869,,Berolini,1835,,Aristotelis Ethicorum Nicomacheorum libri decem ... Edidit Car. Lud. Michelet: Single Works. Ethica Nicomachea. Greek,Aristotle.,"MICHELET, Carl Ludwig.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000111869,British Library HMNTS 527.i.10.
000112109,,Lipsiae,"1834, 1836",,"Ἀριστοτελους μετεωρολογικα. Aristotelis Meteorologicorum libri IV. ... Denuo post Bekkerum ... recensuit, novam interpretationem latinam confecit, excerpta ex commentariis Alexandri, Olympiodori et Ioannis Philoponi, suos commentarios adiecit ... indices ... addidit Iulius Ludovicus Ideler: Single Works. Meteorologica. Greek and Latin",Aristotle.,"Bekker, Immanuel|IDELER, Julius Ludwig.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000112109,British Library HMNTS 714.d.9.|British Library HMNTS 714.d.10.|British Library HMNTS 520.g.1.; 520.g.2.
000112593,,Paris,1803,,"Politique d'Aristote, traduite du grec, avec des notes et des éclaircissemens, par Charles Millon ... On a joint ... une notice sur Aristote et sur ses écrits; une liste chronologique des éditions de ses œuvres; plusieurs extraits de Platon, et les deux traités de Xénophon sur les républiques de Sparte et d'Athènes, etc: Single Works. Politica. French",Aristotle.,"MILLON, Charles - Professor, of Paris",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000112593,British Library HMNTS 520.e.19.
000115066,,London,1890,Methuen & Co.,"Arminell. A social romance. By the author of “Mehalah,” etc. [i.e. S. Baring Gould]",,"Baring-Gould, S. (Sabine)",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000115066,British Library HMNTS 012639.l.10.
000116525,,London,1853,Richard Bentley,Nelly Armstrong: a story of the day. By the author of “Rose Douglas” [i.e. S. R. Whitehead],"ARMSTRONG, Nelly.","WHITEHEAD, Sarah R.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000116525,British Library HMNTS 12627.b.9.
000117698,,Niort,1876,,"Monuments religieux, militaires et civils des Deux-Sèvres ... Seconde édition. Avec une notice biographique sur Ch. Arnauld, A. Baugier et E. Conte, un précis de l'histoire du Départment et de la Ville de Niort, par L. Favre. [With plates.]","ARNAULD, Charles.","BAUGIER, Antoine.|CONTE, Édouard Guillaume.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000117698,British Library HMNTS 10174.d.7.
000117760,,London,1817,Samuel Leigh,Germanicus ... Translated ... into blank verse by George Bernel ... To which is prefixed an historical account of Germanicus,"ARNAULT, Antoine Vincent.","BERNEL, George.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000117760,British Library HMNTS 643.f.19.(3.)
000119124,,London,1896,Longmans & Co.,East and West. Being papers reprinted from the “Daily Telegraph” and other sources ... With ... illustrations by R. T. Pritchett,"Arnold, Edwin - Sir","PRITCHETT, Robert Taylor - K.C.I.E",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119124,British Library HMNTS 010057.g.3.
000119421,,London,1878 [1877],Provost & Co.,Village Lyrics. By Henrietta and Charlotte Arnold,"ARNOLD, Henrietta.","ARNOLD, Charlotte.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119421,British Library HMNTS 11652.bbb.20.
000119498,,London,1852,R. Lloyd,"Jessie Arnold; or, the Murder at the Old Well. A romance. By the author of “The Black Mantle,” [i.e. J. M. Rymer] etc","ARNOLD, Jessie.","RYMER, James Malcolm.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119498,British Library HMNTS 12624.f.10.|British Library HMNTS C.140.b.33.
000119514,,London,1862,Hurst & Blackett,"John Arnold. [A novel.] By the author of “Mathew Paxton,” etc. [i.e. William Wilson, Minister at Etal.]","ARNOLD, John.","WILSON, William - Minister at Etal",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119514,British Library HMNTS 12635.cc.1.
000119572,,London,1882,Tinsley Bros.,Palms and Temples. Being notes of a four months' voyage upon the Nile ... With a preface by Edwin Arnold,"ARNOLD, Julian Tregenna Biddulph.","Arnold, Edwin - Sir",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119572,British Library HMNTS 10095.f.1.
